timestamp_utc,platform,metric,run,value,unit,notes
2026-07-07T14:31:14Z,k3s,install_time,1,22.9,s,command -> tag 2.0.0 running + all endpoints 200
2026-07-07T14:31:22Z,k3s,upgrade_time,1,6.9,s,command -> tag 2.0.1 running + all endpoints 200
2026-07-07T14:31:28Z,k3s,rollback_time,1,6.6,s,command -> tag 2.0.0 running + all endpoints 200
2026-07-07T14:32:25Z,k3s,workload_rss_postgres,1,139.5,MiB,mid-load; 
2026-07-07T14:32:25Z,k3s,workload_rss_artemis,1,253.8,MiB,mid-load; 
2026-07-07T14:32:25Z,k3s,workload_rss_submission-service,1,262.4,MiB,mid-load; 
2026-07-07T14:32:25Z,k3s,workload_rss_keycloak,1,503.3,MiB,mid-load; 
2026-07-07T14:32:25Z,k3s,workload_rss_management-service,1,262.8,MiB,mid-load; 
2026-07-07T14:32:25Z,k3s,workload_rss_total,1,1421.7,MiB,mid-load; all workload containers
2026-07-07T14:32:35Z,k3s,http_throughput,1,10.046807124695771,rps,target 10 rps for 20s
2026-07-07T14:32:36Z,k3s,http_p50,1,7.492,ms,
2026-07-07T14:32:36Z,k3s,http_p95,1,23.329,ms,
2026-07-07T14:32:36Z,k3s,http_p99,1,31.096,ms,
2026-07-07T14:32:36Z,k3s,http_error_rate,1,0,ratio,of 201 requests; dropped=0
2026-07-07T14:32:42Z,k3s,startup_time,1,4,s,pod creationTimestamp -> Ready condition (API timestamps)
